City ID,City,Country,Lat,Lng,Date,Max Temp,Humidity,Cloudiness,Wind Speed
273,Todos Santos,MX,23.45,-110.22,2020-04-11,68.0,81.0,98.0,1.99
274,Kuju,IN,23.72,85.5,2020-04-11,91.4,24.0,0.0,5.82
275,Cedral,MX,23.8,-100.73,2020-04-11,70.27,34.0,74.0,6.93
276,Cockburn Town,BS,24.03,-74.52,2020-04-11,77.05,85.0,8.0,5.53
277,Ishigaki,JP,24.34,124.16,2020-04-11,77.0,73.0,40.0,10.29
278,Andros Town,BS,24.7,-77.77,2020-04-11,73.4,78.0,75.0,4.7
279,Ormara,PK,25.21,64.64,2020-04-11,85.62,49.0,2.0,2.1
280,Esna,EG,25.29,32.55,2020-04-11,60.8,55.0,25.0,3.36
281,Qujing,CN,25.48,103.78,2020-04-11,70.16,24.0,23.0,2.82
282,Adrar,DZ,25.75,-1.0,2020-04-11,76.6,17.0,0.0,9.1
283,Nishihara,JP,26.18,127.76,2020-04-11,75.2,60.0,40.0,11.41
284,Sayhat,SA,26.49,50.04,2020-04-11,93.2,74.0,94.0,9.17
285,Nago,JP,26.59,127.98,2020-04-11,75.2,60.0,40.0,12.75
286,Santa Barbara,MX,26.8,-105.82,2020-04-11,52.45,24.0,33.0,6.91
287,Caohai,CN,26.87,104.28,2020-04-11,52.14,38.0,97.0,8.03
288,Sabha,LY,27.04,14.43,2020-04-11,63.48,25.0,0.0,15.86
289,Jensen Beach,US,27.25,-80.23,2020-04-11,77.0,73.0,90.0,9.17
290,Abnub,EG,27.27,31.15,2020-04-11,55.4,58.0,0.0,8.05
291,Gopamau,IN,27.55,80.28,2020-04-11,100.71,13.0,0.0,11.9
292,Kathmandu,NP,27.72,85.32,2020-04-11,75.2,33.0,20.0,3.36
293,Tezu,IN,27.92,96.17,2020-04-11,94.66,14.0,0.0,5.06
294,Guerrero Negro,MX,27.98,-114.06,2020-04-11,59.61,67.0,1.0,9.6
295,Pokhara,NP,28.23,83.98,2020-04-11,82.54,12.0,14.0,4.32
296,Santa Isabel,MX,28.38,-113.35,2020-04-11,51.62,56.0,0.0,7.36
297,Los Llanos De Aridane,ES,28.66,-17.92,2020-04-11,68.0,72.0,90.0,6.93
298,Teguise,ES,29.06,-13.56,2020-04-11,64.4,77.0,20.0,9.17
299,Awjilah,LY,29.11,21.29,2020-04-11,58.15,57.0,0.0,8.32
